system:index,landcover,.geo
0_0,0,"{""type"":""Polygon"",""coordinates"":[[[7.50476800971702,45.90316054560853],[7.50481092506126,45.90265286145547],[7.506827946240459,45.903668225119056],[7.506570454175032,45.90450439301605],[7.5048538404055,45.90414603688805],[7.50476800971702,45.90316054560853]]]}"
0_1,0,"{""type"":""Polygon"",""coordinates"":[[[7.50912242067447,45.90570653625772],[7.510495711690095,45.90567667398208],[7.5101094735919505,45.90693087572778],[7.509165336018708,45.90681142916334],[7.50912242067447,45.90570653625772]]]}"
0_2,0,"{""type"":""Polygon"",""coordinates"":[[[7.513628531819489,45.909916956305764],[7.515087653523591,45.91015583581236],[7.515216399556306,45.91078288962565],[7.514572669392733,45.91090232764404],[7.513628531819489,45.909916956305764]]]}"
0_3,0,"{""type"":""Polygon"",""coordinates"":[[[7.516900474393048,45.91311910399511],[7.517200881802717,45.912671227990174],[7.518531257474103,45.91276080348032],[7.518574172818341,45.91344754410162],[7.517544204556622,45.91356697638571],[7.516900474393048,45.91311910399511]]]}"
0_4,0,"{""type"":""Polygon"",""coordinates"":[[[7.526503364462936,45.91733389556999],[7.52688960256108,45.91733389556999],[7.527533332724655,45.91790115690202],[7.527190009970748,45.918259424229106],[7.525988380332078,45.917602599029074],[7.526503364462936,45.91733389556999]]]}"
0_5,0,"{""type"":""Polygon"",""coordinates"":[[[7.519722740073288,45.91482593387291],[7.520881454367721,45.914885648563875],[7.5213106078101015,45.9154827919396],[7.520366470236861,45.91551264893973],[7.519722740073288,45.91482593387291]]]}"
0_6,0,"{""type"":""Polygon"",""coordinates"":[[[7.517597882097715,45.910415311236854],[7.519142834490296,45.91074376734422],[7.519099919146054,45.91160968776469],[7.517426220720762,45.91169926496814],[7.517597882097715,45.910415311236854]]]}"
0_7,0,"{""type"":""Polygon"",""coordinates"":[[[7.353698346258752,45.976068042681256],[7.3541918727174895,45.97621716445511],[7.354170415045372,45.97672417548252],[7.35371980393087,45.976709263459725],[7.353698346258752,45.976068042681256]]]}"
0_8,0,"{""type"":""Polygon"",""coordinates"":[[[7.35221776688253,45.97372917247736],[7.352325055243124,45.973326524676985],[7.353247735144248,45.97341600221894],[7.353011700750938,45.97414673006718],[7.352475258947961,45.97414673006719],[7.35221776688253,45.97372917247736]]]}"
0_9,0,"{""type"":""Polygon"",""coordinates"":[[[7.355079670823841,45.971790325572336],[7.355315705217151,45.9714622309145],[7.356023808397083,45.971506971209564],[7.356345673478868,45.97208859175654],[7.355294247545033,45.97211841828658],[7.355079670823841,45.971790325572336]]]}"
0_10,0,"{""type"":""Polygon"",""coordinates"":[[[7.354054018690258,45.96858754633846],[7.354783579542308,45.968662117347016],[7.355019613935618,45.96919902564515],[7.354247137739331,45.96921393969026],[7.354054018690258,45.96858754633846]]]}"
0_11,0,"{""type"":""Polygon"",""coordinates"":[[[7.353890320091462,45.966057985617276],[7.354555507927154,45.96610273027771],[7.354641338615631,45.96659491915722],[7.3540190661241756,45.96660983390347],[7.353890320091462,45.966057985617276]]]}"
0_12,0,"{""type"":""Polygon"",""coordinates"":[[[7.353889966774686,45.961471867518846],[7.354619527626736,45.96144203525568],[7.354726815987332,45.96187460149955],[7.3541474588401154,45.961904433529796],[7.353889966774686,45.961471867518846]]]}"
0_13,0,"{""type"":""Polygon"",""coordinates"":[[[7.354231958823125,45.95756752031261],[7.355090265707893,45.957582437489265],[7.354854231314581,45.95808961910661],[7.354317789511602,45.95810453614275],[7.354231958823125,45.95756752031261]]]}"
0_14,0,"{""type"":""Polygon"",""coordinates"":[[[7.351793157832769,45.9952017871557],[7.352125751750616,45.995171973059435],[7.352200853603031,45.99544775283714],[7.351846802013066,45.99544029934773],[7.351793157832769,45.9952017871557]]]}"
0_15,0,"{""type"":""Polygon"",""coordinates"":[[[7.349711194201996,45.99368257889],[7.349990143939541,45.99366767143464],[7.3500330592837795,45.993883829144394],[7.349764838382291,45.99389128284348],[7.349711194201996,45.99368257889]]]}"
0_16,0,"{""type"":""Polygon"",""coordinates"":[[[7.353316083118009,45.993846560634],[7.35382033841281,45.99413725434963],[7.353412642642547,45.994196883641024],[7.353316083118009,45.993846560634]]]}"
0_17,0,"{""type"":""Polygon"",""coordinates"":[[[7.404357933670568,46.0329524779974],[7.4052376982274515,46.03365262653501],[7.4044866797032824,46.033503659503914],[7.404357933670568,46.0329524779974]]]}"
0_18,0,"{""type"":""Polygon"",""coordinates"":[[[7.351950228797005,45.98371215398226],[7.353581011878059,45.98412963629609],[7.353495181189584,45.98585917234319],[7.352121890173958,45.98573989572991],[7.351950228797005,45.98371215398226]]]}"
0_19,0,"{""type"":""Polygon"",""coordinates"":[[[7.351950228797005,45.97852318250392],[7.354095996008919,45.97834424377909],[7.355125964270637,45.979775737386504],[7.352980197058724,45.98007396056322],[7.351950228797005,45.97852318250392]]]}"
1_0,1,"{""type"":""Polygon"",""coordinates"":[[[7.454874464157877,45.88396244808755],[7.4569773160255535,45.88414169157302],[7.457106062058266,45.88650167686229],[7.455346532944497,45.88647180425727],[7.454874464157877,45.88396244808755]]]}"
1_1,1,"{""type"":""Polygon"",""coordinates"":[[[7.4621575176442505,45.884437788384304],[7.462672501775113,45.88428841964936],[7.462500840398161,45.885483358283906],[7.4615996181691555,45.885483358283906],[7.4621575176442505,45.884437788384304]]]}"
1_2,1,"{""type"":""Polygon"",""coordinates"":[[[7.459153443547573,45.88145033737897],[7.460312157842005,45.88171921454786],[7.460569649907437,45.882197215190736],[7.459196358891811,45.882376464371596],[7.459153443547573,45.88145033737897]]]}"
