system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_1_1_1_2_0_1,1032,1032,2528,2228,1245,1127,1014,1022,998,994,-0.2152335,0.01674877,-0.11012037,0.3812771,0,0.04814915110777773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.506482989172395,45.90444289362367]}"
1_1_1_1_1_2_0_4,1028,1005,2542,2226,1246,1131,1018,1019,1008,1003,-0.21909341,0.009823183,-0.10559006,0.37662336,0,0.035733053342671406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.506098764811926,45.90434786436756]}"
1_1_1_1_1_2_0_5,1028,1005,2537,2230,1238,1131,1018,1019,999,1003,-0.21889004,0.014306857,-0.106839515,0.3812326,0,0.5287727970936361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.506227644004144,45.90434954948726]}"
1_1_1_1_1_2_0_7,1032,1032,2557,2227,1250,1127,1014,1022,1002,994,-0.21862695,0.0147492625,-0.110124335,0.3793744,0,0.3326979237282369,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.506485402422995,45.904352919290766]}"
1_1_1_1_1_2_0_9,1028,1041,2590,2229,1239,1142,1004,1014,1000,996,-0.22588356,0.013806706,-0.10674408,0.3806132,0,0.3950658010538318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.505456783926503,45.90424946229718]}"
1_1_1_1_1_2_0_10,1032,1039,2548,2261,1255,1148,1008,1022,1002,1002,-0.21637827,0.0147492625,-0.1120957,0.38584125,0,0.5938374846522868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.505714541791569,45.90425283383378]}"
1_1_1_1_1_2_0_11,1033,1037,2586,2266,1242,1147,1015,1012,1004,999,-0.22421142,0.0142366225,-0.105966166,0.3859327,0,0.29286561897842167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.505843420741313,45.90425451938413]}"
1_1_1_1_1_2_0_13,1027,1027,2532,2236,1238,1144,1016,1008,999,996,-0.2184265,0.013820335,-0.106839515,0.38238022,0,0.4456311265879034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.506101178675224,45.904257890048925]}"
1_1_1_1_1_2_0_14,1027,1027,2560,2250,1242,1144,1016,1008,998,996,-0.2212116,0.014320987,-0.10892857,0.38546798,0,0.12754482163879544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.506230057659388,45.90425957516337]}"
1_1_1_1_1_2_0_15,1020,1038,2550,2236,1259,1132,1008,1013,997,995,-0.21764503,0.011403074,-0.116134755,0.3832354,0,0.46530193938509434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.5063589366550225,45.904261260132515]}"
1_1_1_1_1_2_0_17,1021,1030,2564,2236,1258,1130,1002,1018,991,995,-0.21871786,0.014910537,-0.11871943,0.38580725,0,0.10411006497109998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.506616694680699,45.9042646296349]}"
1_1_1_1_1_2_0_18,1035,1025,2510,2198,1255,1131,1009,1019,1007,997,-0.2112967,0.013712047,-0.10963749,0.37160686,0,0.18508617896540147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.504943684058416,45.90415274320756]}"
1_1_1_1_1_2_0_19,1029,1041,2531,2228,1262,1138,1000,1014,1015,990,-0.21500771,0.006849315,-0.108476065,0.37403637,0,0.6434848290234411,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.505072562731244,45.90415442962445]}"
