system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_1_1_2_0_0,1044,1074,1616,1942,1745,1608,1179,1177,1164,1096,0.001616089,-0.054347824,-0.19972499,0.25048295,0,0.6256640317102483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62442246909062,31.38586909100942]}"
1_1_1_1_2_0_1,1044,1074,1560,1920,1730,1608,1179,1177,1176,1096,0.0068965517,-0.05945946,-0.19064006,0.24031007,0,0.5400081780822293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62452761383176,31.385870219013167]}"
1_1_1_1_2_0_2,1041,1062,1571,1930,1754,1599,1196,1173,1166,1105,0.010484454,-0.05663797,-0.20136987,0.24677002,0,0.07783143848245333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62463275857881,31.38587134693074]}"
1_1_1_1_2_0_3,1041,1062,1628,1916,1756,1599,1196,1173,1193,1105,-0.0042719827,-0.068039395,-0.19091217,0.23255067,0,0.3035233194578326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62473790333178,31.38587247476215]}"
1_1_1_1_2_0_8,1046,1067,1600,1866,1742,1583,1175,1157,1171,1082,0.003058104,-0.0563825,-0.19601785,0.22884426,0,0.3955444106154571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62452892866422,31.385780018266875]}"
1_1_1_1_2_0_9,1044,1050,1576,1914,1754,1595,1182,1168,1138,1073,0.015239477,-0.043079745,-0.21300139,0.2542595,0,0.025517302975547773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62463407331084,31.385781146180477]}"
1_1_1_1_2_0_10,1044,1050,1602,1916,1780,1595,1182,1168,1183,1073,0.006953111,-0.062415805,-0.20148498,0.2365279,0,0.21473976447104104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62473921796337,31.38578227400791]}"
1_1_1_1_2_0_12,1049,1052,1597,1942,1774,1609,1192,1183,1176,1077,0.008934953,-0.057078652,-0.20271187,0.2456703,0,0.28616504688289335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62494950728612,31.38578452940426]}"
1_1_1_1_2_0_13,1058,1065,1597,1900,1782,1614,1185,1183,1170,1103,0.01301944,-0.0502693,-0.20731707,0.23778501,0,0.40293573500805036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62505465195636,31.385785656973173]}"
1_1_1_1_2_0_17,1058,1072,1626,1942,1746,1565,1177,1187,1170,1085,0.0014285714,-0.0502693,-0.19753087,0.24807198,0,0.010070339156184827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62547523069635,31.38579016638713]}"
1_1_1_1_2_0_19,1043,1058,1602,1927,1742,1589,1191,1175,1166,1083,0.0030614082,-0.055681303,-0.19807428,0.24603945,0,0.10091172228442313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62431995441611,31.38568756144147]}"
1_1_1_1_2_0_21,1046,1067,1579,1934,1750,1583,1175,1157,1168,1082,0.008839978,-0.055103883,-0.19945168,0.24693745,0,0.392792452812476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.6245302434908,31.385689817519243]}"
1_1_1_1_2_0_22,1044,1050,1567,1930,1763,1595,1182,1168,1149,1073,0.016476553,-0.047879618,-0.21085165,0.2536538,0,0.1294722133754901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62463538803696,31.385690945428873]}"
1_1_1_1_2_0_25,1049,1052,1566,1939,1754,1609,1192,1183,1152,1077,0.0153957615,-0.04679691,-0.20715761,0.25461015,0,0.22367272602272548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62495082171095,31.38569432864074]}"
1_1_1_1_2_0_26,1058,1065,1592,1933,1745,1614,1185,1183,1149,1103,0.011183261,-0.04123244,-0.20594333,0.2543803,0,0.5602268873693611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.62505596628075,31.385695456205685]}"
