system:index,landcover,.geo
0_0,6,"{""type"":""Polygon"",""coordinates"":[[[121.63181511469817,31.286838706136486],[121.63456169672942,31.286838706136482],[121.63490501948331,31.291386236353986],[121.63147179194425,31.291972998468122],[121.63181511469817,31.286838706136486]]]}"
0_1,6,"{""type"":""Polygon"",""coordinates"":[[[121.46390522045424,31.306255810866247],[121.46321857494642,31.30346908066982],[121.468540077632,31.30302906310417],[121.46871173900892,31.30566913767469],[121.46390522045424,31.306255810866247]]]}"
0_2,6,"{""type"":""Polygon"",""coordinates"":[[[121.43937211999433,31.340041226068635],[121.4393721199943,31.33608253188],[121.44383531579508,31.336962256092697],[121.43937211999433,31.340041226068635]]]}"
0_3,6,"{""type"":""Polygon"",""coordinates"":[[[121.32740186454546,31.31534705873438],[121.32860349418414,31.312413939336686],[121.3316933989693,31.313587198057107],[121.33220838310017,31.31593367165238],[121.32740186454546,31.31534705873438]]]}"
0_4,6,"{""type"":""Polygon"",""coordinates"":[[[121.55362157476749,31.348702864253312],[121.55293492925968,31.34694362716193],[121.5568831409296,31.34606399627724],[121.55791310919133,31.348409660356435],[121.55362157476749,31.348702864253312]]]}"
0_5,6,"{""type"":""Polygon"",""coordinates"":[[[121.61012427249914,31.312197028974577],[121.61304251590732,31.311463733164004],[121.61424414554601,31.31513015512727],[121.61115424076087,31.314983500989094],[121.61012427249914,31.312197028974577]]]}"
0_6,6,"{""type"":""Polygon"",""coordinates"":[[[121.68157187960148,31.395067253852858],[121.68037024996279,31.39213662002428],[121.68294517061709,31.391843551610283],[121.68500510714053,31.393162352269677],[121.68157187960148,31.395067253852858]]]}"
0_7,6,"{""type"":""Polygon"",""coordinates"":[[[121.53111687615362,31.182599229248318],[121.53231850579226,31.17980884800282],[121.53764000847784,31.181424341905533],[121.53746834710087,31.18377410201075],[121.53111687615362,31.182599229248318]]]}"
0_8,6,"{""type"":""Polygon"",""coordinates"":[[[121.50072680565427,31.17687048789417],[121.50124178978513,31.17481430107405],[121.50501834007811,31.174667428878493],[121.50072680565427,31.17687048789417]]]}"
0_9,6,"{""type"":""Polygon"",""coordinates"":[[[121.42193146020307,31.174389966580087],[121.42227478295696,31.171746220363794],[121.42605133324993,31.172039973587797],[121.42656631738082,31.174977455716903],[121.42193146020307,31.174389966580087]]]}"
0_10,6,"{""type"":""Polygon"",""coordinates"":[[[121.49850044346235,31.159661726801684],[121.49867210483929,31.15716446909009],[121.50124702549358,31.157311368424256],[121.50210533237835,31.160249307287216],[121.49850044346235,31.159661726801684]]]}"
0_11,6,"{""type"":""Polygon"",""coordinates"":[[[121.7315976654969,31.490914630191238],[121.73091101998908,31.490146134105917],[121.73121142739876,31.489963157916836],[121.73174786920173,31.49042059771836],[121.73189807290656,31.49078654794884],[121.7315976654969,31.490914630191238]]]}"
0_12,6,"{""type"":""Polygon"",""coordinates"":[[[121.7396657502137,31.487767415728598],[121.73957991952523,31.48740145368613],[121.74037385339362,31.486980595567356],[121.74054551477056,31.487511242449212],[121.7396657502137,31.487767415728598]]]}"
0_13,6,"{""type"":""Polygon"",""coordinates"":[[[121.74983837604037,31.492467344729473],[121.74940922259795,31.49175375327772],[121.75001003741731,31.491643969494188],[121.75022461413852,31.49217458992073],[121.74983837604037,31.492467344729473]]]}"
0_14,6,"{""type"":""Polygon"",""coordinates"":[[[121.76810285357249,31.49935746332912],[121.76780244616283,31.498808587753732],[121.7684461763264,31.49847926086191],[121.76870366839184,31.4991013217949],[121.76810285357249,31.49935746332912]]]}"
0_15,6,"{""type"":""Polygon"",""coordinates"":[[[121.77780542541088,31.504024483085985],[121.77759084868967,31.50340245490857],[121.77806291747632,31.503365864886884],[121.77836332488594,31.504280611132515],[121.77780542541088,31.504024483085985]]]}"
0_16,6,"{""type"":""Polygon"",""coordinates"":[[[121.71610400796408,31.50586340785699],[121.71593234658711,31.50542433821049],[121.71700523019308,31.504985266501638],[121.71752021432391,31.505607284147157],[121.71610400796408,31.50586340785699]]]}"
0_17,6,"{""type"":""Polygon"",""coordinates"":[[[121.70560189362871,31.509883585075723],[121.70551606294025,31.508785954302713],[121.70791932221762,31.50820054595303],[121.70869179841388,31.50944453431338],[121.70560189362871,31.509883585075723]]]}"
0_18,6,"{""type"":""Polygon"",""coordinates"":[[[121.48817521295621,31.39983599933882],[121.49092179498749,31.39939643242612],[121.49006348810272,31.403059427134007],[121.48783189020232,31.402326839628586],[121.48817521295621,31.39983599933882]]]}"
0_19,6,"{""type"":""Polygon"",""coordinates"":[[[121.31901359023912,31.34676132427452],[121.32021521987777,31.347127835425685],[121.32055854263169,31.348960369759553],[121.31875609817368,31.348447263745005],[121.31901359023912,31.34676132427452]]]}"
0_20,6,"{""type"":""Polygon"",""coordinates"":[[[121.58461834280136,31.270646394866677],[121.58376003591658,31.268298793672184],[121.58599163381699,31.267711884246513],[121.58702160207869,31.270059500044365],[121.58461834280136,31.270646394866677]]]}"
0_21,6,"{""type"":""Polygon"",""coordinates"":[[[121.67915514740763,31.237459620034677],[121.68155840668497,31.237606394757204],[121.68104342255411,31.24039507115593],[121.67932680878457,31.239954759303092],[121.67915514740763,31.237459620034677]]]}"
0_22,6,"{""type"":""Polygon"",""coordinates"":[[[121.74748535356447,31.20175050220637],[121.74821491441651,31.20193403989055],[121.74825782976073,31.20263147984287],[121.74722786149903,31.202484650806518],[121.74748535356447,31.20175050220637]]]}"
0_23,6,"{""type"":""Polygon"",""coordinates"":[[[121.74639199655898,31.172324207090927],[121.74725030344378,31.172177331033584],[121.74729321878799,31.173076943309734],[121.74632762354263,31.172966787163606],[121.74639199655898,31.172324207090927]]]}"
0_24,6,"{""type"":""Polygon"",""coordinates"":[[[121.73032676470034,31.168140966744875],[121.73082029115906,31.16817768734536],[121.73077737581482,31.16865505385635],[121.73067008745423,31.1688570158868],[121.73021947633973,31.16865505385635],[121.73032676470034,31.168140966744875]]]}"
0_25,6,"{""type"":""Polygon"",""coordinates"":[[[121.79618036043397,31.1633304450098],[121.79592286836854,31.162228764435987],[121.79703866731874,31.16230221020611],[121.79742490541689,31.16329372253038],[121.79618036043397,31.1633304450098]]]}"
0_26,6,"{""type"":""Polygon"",""coordinates"":[[[121.71484065661406,31.156277205371325],[121.71479774126982,31.155505972910515],[121.71574187884305,31.155505972910507],[121.71574187884308,31.156534281463575],[121.71484065661406,31.156277205371325]]]}"
0_27,6,"{""type"":""Polygon"",""coordinates"":[[[121.69912716885148,31.156660181851617],[121.699041338163,31.155999128512274],[121.70007130642473,31.155962403191573],[121.7001571371132,31.156623456787074],[121.69912716885148,31.156660181851617]]]}"
0_28,6,"{""type"":""Polygon"",""coordinates"":[[[121.43582981451934,31.267103442516486],[121.43540066107697,31.265929605143757],[121.43711727484649,31.265195949370455],[121.43582981451934,31.267103442516486]]]}"
0_29,6,"{""type"":""Polygon"",""coordinates"":[[[121.41415300120275,31.274098646415798],[121.4139813398258,31.27248473592975],[121.41664209116857,31.27248473592975],[121.41415300120275,31.274098646415798]]]}"
0_30,6,"{""type"":""Polygon"",""coordinates"":[[[121.42551942462558,31.282004738584845],[121.42526193256015,31.280097546735252],[121.42672105426425,31.280097546735252],[121.427579361149,31.281637973916933],[121.42551942462558,31.282004738584845]]]}"
0_31,6,"{""type"":""Polygon"",""coordinates"":[[[121.41253097363136,31.29504453012148],[121.41253097363136,31.293724353247928],[121.41519172497414,31.293577665787225],[121.4154492170396,31.295264557802664],[121.41321761913917,31.295191215299333],[121.41253097363136,31.29504453012148]]]}"
0_32,6,"{""type"":""Polygon"",""coordinates"":[[[121.34275136576002,31.289769441202953],[121.34266553507155,31.287935754608316],[121.34429631815262,31.28815579888282],[121.34481130228347,31.289696094423938],[121.34275136576002,31.289769441202953]]]}"
