system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_1_1_2_0_0,2246,1568,1130,1366,1215,1704,2903,3256,3592,3441,-0.15409996,-0.23055841,0.4944872,-0.44897136,0,0.5494442472807407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939713168832833,43.481236018847824]}"
1_1_1_1_2_0_1,2246,1568,1147,1335,1194,1704,2903,3256,3408,3441,-0.13946216,-0.20551822,0.48109517,-0.43706515,0,0.37498740628530425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939836754067029,43.481233921550995]}"
1_1_1_1_2_0_2,2247,1564,1158,1406,1218,1758,3009,3261,3436,3465,-0.14009182,-0.20922048,0.47657928,-0.41924825,0,0.6059826283102377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939960339287902,43.48123182412068]}"
1_1_1_1_2_0_3,2315,1605,1198,1424,1245,1774,2993,3288,3514,3437,-0.13926499,-0.20569566,0.47678083,-0.4232483,0,0.5058672443910922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93958670365468,43.48114812439304]}"
1_1_1_1_2_0_4,2244,1562,1120,1364,1213,1715,2860,3216,3438,3429,-0.13736744,-0.21013728,0.47839174,-0.43190336,0,0.3202809256358139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939710288718972,43.48114602723625]}"
1_1_1_1_2_0_5,2244,1562,1139,1333,1201,1715,2860,3216,3296,3429,-0.12563452,-0.1898917,0.46586612,-0.42406568,0,0.19509960893240352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939833873769947,43.48114392994597]}"
1_1_1_1_2_0_6,2321,1612,1162,1418,1227,1768,3008,3196,3482,3427,-0.13378906,-0.20006894,0.47887024,-0.42122447,0,0.6816827856686882,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.9399574588076,43.48114183252221]}"
1_1_1_1_2_0_7,2321,1612,1144,1356,1225,1768,3008,3196,3580,3427,-0.14244257,-0.21335366,0.49011445,-0.45056728,0,0.3354378828454093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940081043831933,43.481139734964955]}"
1_1_1_1_2_0_8,2294,1585,1142,1389,1220,1769,2998,3260,3490,3526,-0.13724527,-0.20677732,0.4819533,-0.43062103,0,0.2243216027535171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939336653935257,43.48106232667335]}"
1_1_1_1_2_0_9,2315,1605,1164,1378,1251,1774,2993,3288,3430,3437,-0.12598039,-0.19408181,0.46549883,-0.4267887,0,0.6967739051197873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939460238842967,43.481060229790096]}"
1_1_1_1_2_0_11,2244,1562,1119,1334,1203,1715,2860,3216,3324,3429,-0.12623574,-0.19396552,0.4685222,-0.42722198,0,0.007885452802665949,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939707408618432,43.48105603562312]}"
1_1_1_1_2_0_12,2244,1562,1154,1326,1194,1715,2860,3216,3286,3429,-0.12718964,-0.18842676,0.46696427,-0.42497832,0,0.42765410832688433,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939830993486186,43.48105393833939]}"
1_1_1_1_2_0_13,2321,1612,1159,1382,1227,1768,3008,3196,3444,3427,-0.12943198,-0.19479619,0.4746307,-0.42726895,0,0.48854398541244315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93995457834062,43.481051840922184]}"
1_1_1_1_2_0_14,2321,1612,1177,1380,1246,1768,3008,3196,3496,3427,-0.1342233,-0.20199415,0.47448334,-0.43396226,0,0.006445179686202174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940078163181733,43.481049743371486]}"
1_1_1_1_2_0_15,2279,1600,1181,1383,1243,1695,2864,3196,3360,3335,-0.12637976,-0.19170065,0.45991746,-0.4168248,0,0.058865223111692955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940201748009523,43.48104764568729]}"
1_1_1_1_2_0_17,2268,1553,1150,1364,1227,1734,2983,3229,3476,3478,-0.13926856,-0.2103064,0.4782054,-0.43636364,0,0.40717389684946215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939210189659883,43.48097443178219]}"
1_1_1_1_2_0_18,2268,1553,1137,1360,1216,1734,2983,3229,3288,3478,-0.11897838,-0.18358532,0.46003553,-0.41480207,0,0.31508348407942766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93933377439769,43.48097233503898]}"
1_1_1_1_2_0_19,2269,1570,1161,1351,1236,1745,3023,3338,3412,3514,-0.13221094,-0.20119697,0.46815833,-0.43271047,0,0.27057063140160154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939457359122184,43.48097023816227]}"
1_1_1_1_2_0_20,2269,1570,1145,1373,1212,1745,3023,3338,3600,3514,-0.15365914,-0.2267848,0.49625936,-0.44781822,0,0.48891955215286054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939580943833356,43.48096814115208]}"
1_1_1_1_2_0_21,2282,1578,1132,1339,1223,1718,2943,3255,3316,3487,-0.11857161,-0.18470882,0.4611148,-0.4247046,0,0.3239584540550404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93970452853121,43.480966044008404]}"
1_1_1_1_2_0_22,2282,1578,1165,1362,1212,1718,2943,3255,3454,3487,-0.13866633,-0.20432357,0.4804972,-0.4343854,0,0.012421959205861755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939828113215745,43.48096394673123]}"
1_1_1_1_2_0_23,2323,1639,1174,1404,1272,1755,2894,3209,3422,3385,-0.1222073,-0.19129679,0.45803154,-0.41815168,0,0.31679280065254223,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93995169788696,43.48096184932057]}"
1_1_1_1_2_0_25,2259,1602,1190,1386,1274,1728,2906,3126,3132,3337,-0.100445576,-0.16193657,0.42169768,-0.3864542,0,0.3637179939725639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940198867189425,43.48095765409879]}"
1_1_1_1_2_0_26,2259,1602,1146,1368,1237,1728,2906,3126,3340,3337,-0.12402906,-0.19307019,0.45947126,-0.4188615,0,0.21869440579268862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940322451820675,43.48095555628767]}"
1_1_1_1_2_0_27,2224,1532,1158,1364,1217,1720,2998,3298,3666,3523,-0.16733213,-0.24482173,0.50153595,-0.4576541,0,0.6784937012150151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938960141169728,43.48088863321255]}"
1_1_1_1_2_0_28,2224,1532,1154,1345,1212,1720,2998,3298,3466,3523,-0.1469712,-0.21827768,0.48182985,-0.44086468,0,0.10227514746189359,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93908372575095,43.480886536742865]}"
1_1_1_1_2_0_29,2268,1553,1139,1341,1212,1734,2983,3229,3480,3478,-0.14063464,-0.21085595,0.48337597,-0.4436839,0,0.26124853808051685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939207310318853,43.4808844401397]}"
1_1_1_1_2_0_30,2268,1553,1145,1376,1228,1734,2983,3229,3498,3478,-0.1409264,-0.21331947,0.48032162,-0.43537137,0,0.665996100403733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939330894873443,43.48088234340303]}"
1_1_1_1_2_0_31,2269,1570,1151,1362,1227,1745,3023,3338,3544,3514,-0.14638017,-0.21933597,0.48564243,-0.4447615,0,0.517318737929911,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939454479414717,43.480880246532884]}"
1_1_1_1_2_0_33,2282,1578,1151,1376,1244,1718,2943,3255,3378,3487,-0.12451893,-0.19363958,0.46170488,-0.42111906,0,0.06758931141348468,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939701648457309,43.48087605239211]}"
1_1_1_1_2_0_34,2282,1578,1159,1371,1198,1718,2943,3255,3448,3487,-0.13935946,-0.2034904,0.48428756,-0.4310023,0,0.616746007821943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939825232958626,43.4808739551215]}"
1_1_1_1_2_0_35,2323,1639,1178,1368,1222,1755,2894,3209,3366,3385,-0.12350105,-0.18333626,0.46730602,-0.42205322,0,0.48832108280607733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939948817446622,43.480871857717396]}"
1_1_1_1_2_0_37,2259,1602,1173,1423,1274,1728,2906,3126,3524,3337,-0.14143378,-0.21874459,0.46894538,-0.42470184,0,0.6025989208189565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940195986382651,43.48086766250872]}"
1_1_1_1_2_0_38,2259,1602,1155,1381,1209,1728,2906,3126,3546,3337,-0.15093647,-0.22170542,0.49148265,-0.43941545,0,0.10303180747626195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940319570830683,43.48086556470415]}"
1_1_1_1_2_0_39,2330,1656,1152,1377,1217,1828,2918,3169,3488,3464,-0.13350433,-0.19903746,0.482678,-0.43391573,0,0.6735026068536247,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.94044315526539,43.480863466766095]}"
1_1_1_1_2_0_40,2203,1535,1112,1353,1177,1742,3063,3281,3472,3582,-0.15118031,-0.22361234,0.49365455,-0.439171,0,0.29890402514374126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93895726220845,43.480798641555374]}"
1_1_1_1_2_0_41,2203,1535,1145,1366,1202,1742,3063,3281,3536,3582,-0.15780361,-0.23227043,0.49261293,-0.44267645,0,0.24340719526885368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939080846606453,43.48079654509225]}"
1_1_1_1_2_0_42,2251,1545,1136,1358,1206,1757,3120,3439,3644,3612,-0.16061673,-0.23630194,0.5026804,-0.45701718,0,0.6517819892476013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939204430991142,43.48079444849562]}"
1_1_1_1_2_0_44,2250,1568,1142,1350,1192,1746,3099,3390,3664,3614,-0.16537343,-0.23909368,0.509061,-0.46150777,0,0.4618284989820761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939451599720568,43.48079025490192]}"
1_1_1_1_2_0_45,2250,1568,1139,1366,1206,1746,3099,3390,3668,3614,-0.16349994,-0.23960797,0.5051293,-0.4572904,0,0.5775633885262327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939575184065307,43.48078815790483]}"
1_1_1_1_2_0_46,2209,1579,1156,1404,1216,1709,2891,3114,3556,3324,-0.1581664,-0.23365134,0.49036044,-0.43387097,0,0.14549608889729537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939698768396726,43.48078606077425]}"
1_1_1_1_2_0_47,2209,1579,1166,1369,1216,1709,2891,3114,3360,3324,-0.13847315,-0.20667984,0.46853146,-0.42101926,0,0.06308142375356163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939822352714826,43.48078396351019]}"
1_1_1_1_2_0_48,2209,1570,1152,1367,1216,1667,2683,2995,3442,3137,-0.14577878,-0.21819147,0.4778875,-0.43148264,0,0.6986929380289418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939945937019605,43.48078186611264]}"
1_1_1_1_2_0_49,2209,1570,1152,1403,1241,1667,2683,2995,3366,3137,-0.13403614,-0.20753363,0.46125463,-0.41161668,0,0.6987874615658066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940069521311063,43.4807797685816]}"
1_1_1_1_2_0_50,2272,1594,1110,1322,1210,1668,2736,2970,3142,3128,-0.09956038,-0.1606945,0.4439338,-0.40770608,0,0.12198684210376787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.9401931055892,43.48077767091707]}"
1_1_1_1_2_0_52,2523,1871,1136,1368,1237,1929,2939,3182,3224,3368,-0.073891625,-0.12197668,0.44541582,-0.40418118,0,0.3644313039303144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940440274105505,43.480773475187554]}"
1_1_1_1_2_0_53,2523,1871,1311,1537,1390,1929,2939,3182,3420,3368,-0.09463211,-0.15093388,0.42203742,-0.37986687,0,0.537540738623255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.94056385834367,43.480771377122565]}"
1_1_1_1_2_0_54,2220,1537,1132,1336,1198,1705,3029,3422,3502,3584,-0.15101838,-0.22404754,0.49021277,-0.44770566,0,0.23916440910125147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938830799032386,43.48071074621972]}"
1_1_1_1_2_0_55,2203,1535,1164,1354,1191,1742,3063,3281,3408,3582,-0.14787848,-0.21475673,0.48206133,-0.43133137,0,0.4520307015349938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938954383260485,43.48070864989663]}"
1_1_1_1_2_0_56,2203,1535,1164,1383,1209,1742,3063,3281,3668,3582,-0.17224649,-0.2495316,0.5042034,-0.45238566,0,0.6686774239462164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939077967475273,43.48070655344005]}"
1_1_1_1_2_0_58,2251,1545,1136,1350,1192,1757,3120,3439,3644,3612,-0.16259272,-0.23630194,0.5070306,-0.4593512,0,0.5760995064951125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939325135864898,43.480702360126415]}"
1_1_1_1_2_0_59,2250,1568,1140,1325,1194,1746,3099,3390,3720,3614,-0.17052023,-0.24623115,0.51404154,-0.47472745,0,0.1759342595598492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939448720039739,43.48070026326937]}"
1_1_1_1_2_0_60,2250,1568,1117,1370,1194,1746,3099,3390,3622,3614,-0.15825492,-0.23365122,0.50415283,-0.4511218,0,0.15097135496024383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93957230420126,43.480698166278835]}"
1_1_1_1_2_0_61,2209,1579,1150,1400,1206,1709,2891,3114,3418,3324,-0.14443192,-0.21485694,0.4783737,-0.41884598,0,0.09969226354362737,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939695888349462,43.48069606915482]}"
1_1_1_1_2_0_62,2209,1579,1170,1370,1223,1709,2891,3114,3206,3324,-0.12090164,-0.1841182,0.44773087,-0.40122378,0,0.5284740916380493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939819472484347,43.48069397189731]}"
1_1_1_1_2_0_63,2209,1570,1136,1328,1210,1667,2683,2995,2944,3137,-0.088145085,-0.14263536,0.41742897,-0.37827715,0,0.28035068447658384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93994305660591,43.48069187450631]}"
1_1_1_1_2_0_64,2209,1570,1141,1300,1171,1667,2683,2995,2850,3137,-0.08289242,-0.12670489,0.41755784,-0.37349397,0,0.1658381037389033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940066640714152,43.480689776981826]}"
1_1_1_1_2_0_65,2272,1594,1134,1288,1215,1668,2736,2970,2888,3128,-0.07124784,-0.11937985,0.40775043,-0.38314176,0,0.1968610221969861,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940190224809072,43.48068767932385]}"
1_1_1_1_2_0_66,2272,1594,1173,1369,1235,1668,2736,2970,3046,3128,-0.09215636,-0.14554344,0.42303202,-0.37984145,0,0.6374115216954945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.94031380889067,43.48068558153239]}"
1_1_1_1_2_0_68,2523,1871,1479,1772,1598,1929,2939,3182,3542,3368,-0.09844673,-0.16801319,0.37821013,-0.33308244,0,0.14399983356227564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940560977013893,43.48068138554901]}"
1_1_1_1_2_0_71,2273,1560,1153,1378,1214,1782,3093,3322,3508,3581,-0.14408444,-0.21363086,0.48581108,-0.43593943,0,0.5275532216871661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938951504325837,43.48061865823632]}"
1_1_1_1_2_0_72,2273,1560,1137,1399,1226,1782,3093,3322,3764,3581,-0.16690476,-0.24697697,0.5086172,-0.45806703,0,0.26219627969253023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939075088357407,43.48061656178629]}"
1_1_1_1_2_0_73,2265,1577,1156,1404,1222,1749,3060,3384,3690,3566,-0.16308652,-0.23929471,0.502443,-0.44876325,0,0.582188648616789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939198672375664,43.48061446520276]}"
1_1_1_1_2_0_74,2265,1577,1130,1375,1215,1749,3060,3384,3770,3566,-0.16945107,-0.24937862,0.5125376,-0.46550047,0,0.6343883026201397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939322256380603,43.48061236848576]}"
1_1_1_1_2_0_75,2155,1530,1145,1336,1202,1627,2794,3094,3592,3274,-0.17049666,-0.2500435,0.49853984,-0.45779222,0,0.47935654419489326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939445840372226,43.480610271635264]}"
1_1_1_1_2_0_76,2155,1530,1136,1324,1177,1627,2794,3094,3238,3274,-0.1352193,-0.20081587,0.46681768,-0.41955283,0,0.012371677791797486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939569424350532,43.48060817465129]}"
1_1_1_1_2_0_77,2098,1529,1120,1316,1187,1601,2506,2840,3060,2899,-0.119892836,-0.18650639,0.44101718,-0.3985375,0,0.41871879242200716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939693008315519,43.480606077533814]}"
1_1_1_1_2_0_78,2098,1529,1147,1292,1202,1601,2506,2840,2788,2899,-0.087767795,-0.14121981,0.39749372,-0.36666667,0,0.4160178073000842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939816592267187,43.48060398028286]}"
1_1_1_1_2_0_79,2177,1551,1170,1290,1216,1699,2806,2946,2810,3273,-0.07961481,-0.12693001,0.39592648,-0.3707317,0,0.6533728667020695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939940176205534,43.48060188289841]}"
1_1_1_1_2_0_84,2669,2042,1475,1744,1586,2007,2984,3277,3478,3459,-0.07580365,-0.13160892,0.37361768,-0.33205667,0,0.44004529168902884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940558095697444,43.48059139397389]}"
1_1_1_1_2_0_85,2495,1812,1220,1442,1358,1835,2911,3101,3316,3340,-0.08141614,-0.14128377,0.41891313,-0.39386296,0,0.40634785573549503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940681679555853,43.480589295788526]}"
1_1_1_1_2_0_88,2273,1560,1138,1372,1218,1782,3093,3322,3514,3581,-0.14257644,-0.21444617,0.4852071,-0.4383954,0,0.3657219276841054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938948625404501,43.480528666574415]}"
1_1_1_1_2_0_89,2273,1560,1132,1394,1206,1782,3093,3322,3588,3581,-0.15135992,-0.22436444,0.49687108,-0.4403854,0,0.47797401784148497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939072209252856,43.48052657013094]}"
1_1_1_1_2_0_90,2265,1577,1134,1364,1208,1749,3060,3384,3644,3566,-0.15816265,-0.23337282,0.502061,-0.45527157,0,0.1853070665227271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939195793087897,43.48052447355397]}"
1_1_1_1_2_0_93,2155,1530,1119,1276,1165,1627,2794,3094,2918,3274,-0.097458206,-0.1504041,0.42934117,-0.39151168,0,0.5098190986412844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939566544513122,43.48051818302214]}"
1_1_1_1_2_0_94,2098,1529,1105,1294,1183,1601,2506,2840,3008,2899,-0.11252367,-0.1782217,0.43545693,-0.39841935,0,0.10085220896998748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939690128294894,43.480516085911226]}"
1_1_1_1_2_0_95,2098,1529,1154,1319,1203,1601,2506,2840,2842,2899,-0.09524462,-0.15060729,0.4051916,-0.3660178,0,0.04062332153195325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939813712063348,43.48051398866682]}"
1_1_1_1_2_0_97,2177,1551,1157,1396,1236,1699,2806,2946,3664,3273,-0.1709983,-0.2545797,0.4955102,-0.44822136,0,0.2575355347538242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940060879560292,43.48050979377755]}"
1_1_1_1_2_0_98,2362,1657,1176,1423,1235,1772,2964,3393,3830,3532,-0.16378008,-0.2370801,0.5123396,-0.45821434,0,0.5947735060961449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940184463288784,43.48050769613269]}"
